"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 27, 2020","23,208.86","23,311.04","23,323.07","23,177.85","526.75M","-0.35%"
"Aug 26, 2020","23,290.86","23,257.05","23,348.80","23,203.00","477.90M","-0.03%"
"Aug 25, 2020","23,296.77","23,242.74","23,431.04","23,225.39","752.69M","1.35%"
"Aug 24, 2020","22,985.51","22,913.20","23,012.71","22,862.54","405.89M","0.28%"
"Aug 21, 2020","22,920.30","23,022.76","23,135.43","22,920.30","511.83M","0.17%"
"Aug 20, 2020","22,880.62","23,003.58","23,078.36","22,851.83","501.84M","-1.00%"
"Aug 19, 2020","23,110.61","22,997.93","23,149.85","22,953.60","500.96M","0.26%"
"Aug 18, 2020","23,051.08","23,097.80","23,128.18","22,948.89","556.30M","-0.20%"
"Aug 17, 2020","23,096.75","23,189.48","23,248.75","23,068.53","435.89M","-0.83%"
"Aug 14, 2020","23,289.36","23,323.92","23,338.79","23,222.85","598.15M","0.17%"
"Aug 13, 2020","23,249.61","23,123.36","23,316.69","23,111.50","848.23M","1.78%"
"Aug 12, 2020","22,843.96","22,747.44","22,874.37","22,670.74","907.65M","0.41%"
"Aug 11, 2020","22,750.24","22,505.51","22,760.87","22,497.07","993.22M","1.88%"
"Aug 07, 2020","22,329.94","22,433.78","22,436.16","22,204.61","666.93M","-0.39%"
"Aug 06, 2020","22,418.15","22,471.71","22,587.75","22,362.89","626.23M","-0.43%"
"Aug 05, 2020","22,514.85","22,479.72","22,554.20","22,356.25","740.04M","-0.26%"
"Aug 04, 2020","22,573.66","22,379.74","22,603.82","22,379.74","891.08M","1.70%"
"Aug 03, 2020","22,195.38","21,947.58","22,214.59","21,919.83","839.73M","2.24%"
"Jul 31, 2020","21,710.00","22,267.59","22,295.05","21,710.00","1.07B","-2.82%"
"Jul 30, 2020","22,339.23","22,489.24","22,506.60","22,334.71","777.66M","-0.26%"
"Jul 29, 2020","22,397.11","22,543.89","22,584.87","22,366.34","742.59M","-1.15%"
"Jul 28, 2020","22,657.38","22,735.02","22,842.19","22,646.22","677.53M","-0.26%"
"Jul 27, 2020","22,715.85","22,495.95","22,741.13","22,429.57","717.62M","-0.16%"
"Jul 22, 2020","22,751.61","22,791.75","22,855.31","22,732.92","653.64M","-0.58%"
"Jul 21, 2020","22,884.22","22,789.38","22,925.58","22,780.22","685.61M","0.73%"
"Jul 20, 2020","22,717.48","22,772.07","22,788.53","22,580.19","500.42M","0.09%"
"Jul 17, 2020","22,696.42","22,807.57","22,857.82","22,643.52","558.65M","-0.32%"
"Jul 16, 2020","22,770.36","22,907.96","22,925.90","22,739.42","894.44M","-0.76%"
"Jul 15, 2020","22,945.50","22,817.91","22,965.56","22,800.11","725.70M","1.59%"
"Jul 14, 2020","22,587.01","22,631.87","22,677.02","22,538.78","609.65M","-0.87%"
"Jul 13, 2020","22,784.74","22,591.81","22,784.74","22,561.47","712.47M","2.22%"
"Jul 10, 2020","22,290.81","22,534.97","22,563.68","22,285.07","788.05M","-1.06%"
"Jul 09, 2020","22,529.29","22,442.30","22,679.08","22,434.38","651.67M","0.40%"
"Jul 08, 2020","22,438.65","22,481.61","22,667.95","22,438.65","649.12M","-0.78%"
"Jul 07, 2020","22,614.69","22,649.90","22,742.28","22,540.44","626.64M","-0.44%"
"Jul 06, 2020","22,714.44","22,341.27","22,734.11","22,325.75","580.11M","1.83%"
"Jul 03, 2020","22,306.48","22,266.91","22,312.44","22,154.97","516.77M","0.72%"
"Jul 02, 2020","22,145.96","22,182.68","22,267.51","22,072.11","735.69M","0.11%"
"Jul 01, 2020","22,121.73","22,338.30","22,360.31","22,039.56","673.60M","-0.75%"
"Jun 30, 2020","22,288.14","22,335.10","22,448.30","22,273.38","741.69M","1.33%"
"Jun 29, 2020","21,995.04","22,255.05","22,281.38","21,969.59","737.16M","-2.30%"
"Jun 26, 2020","22,512.08","22,424.37","22,589.14","22,408.27","666.39M","1.13%"
"Jun 25, 2020","22,259.79","22,287.87","22,423.41","22,165.14","808.20M","-1.22%"
"Jun 24, 2020","22,534.32","22,541.01","22,663.29","22,479.86","669.68M","-0.07%"
"Jun 23, 2020","22,549.05","22,636.06","22,693.89","22,257.14","-","0.50%"
"Jun 22, 2020","22,437.27","22,353.69","22,575.74","22,311.94","545.97M","-0.18%"
"Jun 19, 2020","22,478.79","22,515.75","22,523.66","22,352.16","969.60M","0.55%"
"Jun 18, 2020","22,355.46","22,363.88","22,432.25","22,125.35","652.27M","-0.45%"
"Jun 17, 2020","22,455.76","22,517.14","22,536.38","22,318.07","724.82M","-0.56%"
